transaction_id,timestamp,customer_id,merchant_id,device_id,amount,transaction_hour,is_night,new_customer,new_merchant,new_device,velocity_8min,amount_spike,customer_history_count,merchant_history_count,device_history_count,is_fraud
TXN00000001,2025-01-01 00:09:06,CX00237,M03430,D04707,1405.04,0,1,1,1,1,0,0,0,0,0,1
TXN00000002,2025-01-01 00:25:32,CX00237,M00344,D04707,384.12,0,1,0,1,0,0,0,1,0,1,1
TXN00000003,2025-01-01 02:10:42,CX00819,M00659,D07839,764.99,2,1,1,1,1,0,0,0,0,0,1
TXN00000004,2025-01-01 02:21:05,CX00819,M02988,D07839,11493.74,2,1,0,1,0,0,1,1,0,1,1
TXN00000005,2025-01-01 02:31:26,CX00819,M01718,D07839,126.0,2,1,0,1,0,0,0,2,0,2,1
TXN00000006,2025-01-01 02:42:29,CX00819,M03654,D07839,1317.27,2,1,0,1,0,0,0,3,0,3,1
TXN00000007,2025-01-01 18:46:29,CX00841,M01959,D02015,969.5,18,0,1,1,1,0,0,0,0,0,1
TXN00000008,2025-01-01 18:57:42,CX00841,M01353,D02015,906.46,18,0,0,1,0,0,0,1,0,1,1
TXN00000009,2025-01-01 19:09:53,CX00841,M03908,D02015,473.71,19,0,0,1,0,0,0,2,0,2,1
TXN00000010,2025-01-02 03:30:56,CX00238,M00824,D05005,980.31,3,1,1,1,1,0,0,0,0,0,1
TXN00000011,2025-01-02 03:36:40,CX00238,M02929,D05005,9975.09,3,1,0,1,0,1,1,1,0,1,1
TXN00000012,2025-01-02 03:41:42,CX00238,M00872,D05005,4238.06,3,1,0,1,0,1,0,2,0,2,1
TXN00000013,2025-01-02 03:47:22,CX00238,M00843,D05005,11430.17,3,1,0,1,0,1,1,3,0,3,1
TXN00000014,2025-01-02 03:53:23,CX00238,M02260,D05005,969.67,3,1,0,1,0,1,0,4,0,4,1
TXN00000015,2025-01-02 07:09:09,C08407,M04190,D06457,311.76,7,0,1,1,1,0,0,0,0,0,0
TXN00000016,2025-01-02 07:12:51,C08407,M00266,D06010,215.42,7,0,0,1,1,1,0,1,0,0,0
TXN00000017,2025-01-02 14:44:22,CX00288,M02133,D07739,414.83,14,0,1,1,1,0,0,0,0,0,1
TXN00000018,2025-01-02 15:00:22,CX00288,M02716,D07739,212.66,15,0,0,1,0,0,0,1,0,1,1
TXN00000019,2025-01-02 15:01:44,C05961,M03304,D01287,139.71,15,0,1,1,1,0,0,0,0,0,0
TXN00000020,2025-01-02 15:04:29,C05961,M03667,D01126,96.19,15,0,0,1,1,1,0,1,0,0,0
TXN00000021,2025-01-02 15:10:25,C05961,M04071,D03422,480.88,15,0,0,1,1,1,0,2,0,0,0
TXN00000022,2025-01-02 15:15:05,C05961,M00418,D01287,293.09,15,0,0,1,0,1,0,3,0,1,0
TXN00000023,2025-01-02 15:15:24,CX00288,M04026,D07739,2833.17,15,0,0,1,0,0,0,2,0,2,1
TXN00000024,2025-01-02 19:08:11,C05000,M03584,D02271,438.42,19,0,1,1,1,0,0,0,0,0,0
TXN00000025,2025-01-02 19:15:46,C05000,M00264,D02862,547.87,19,0,0,1,1,1,0,1,0,0,0
TXN00000026,2025-01-02 21:47:13,CX00661,M01973,D07992,724.95,21,0,1,1,1,0,0,0,0,0,1
TXN00000027,2025-01-02 22:01:00,CX00661,M00990,D07992,1447.5,22,0,0,1,0,0,0,1,0,1,1
TXN00000028,2025-01-02 22:14:12,CX00661,M01586,D07992,783.06,22,0,0,1,0,0,0,2,0,2,1
TXN00000029,2025-01-03 05:37:54,CX00595,M02647,D04735,5631.75,5,1,1,1,1,0,1,0,0,0,1
TXN00000030,2025-01-03 05:44:33,CX00595,M00204,D04735,1989.96,5,1,0,1,0,1,0,1,0,1,1
TXN00000031,2025-01-03 05:51:41,CX00595,M03159,D04735,1068.87,5,1,0,1,0,1,0,2,0,2,1
TXN00000032,2025-01-03 05:58:20,CX00595,M01696,D04735,5400.02,5,1,0,1,0,1,0,3,0,3,1
TXN00000033,2025-01-03 06:05:32,CX00595,M04077,D04735,4723.59,6,0,0,1,0,1,0,4,0,4,1
TXN00000034,2025-01-03 07:23:48,C04096,M01763,D09095,62.89,7,0,1,1,1,0,0,0,0,0,0
TXN00000035,2025-01-03 07:26:55,C04096,M00138,D04776,118.05,7,0,0,1,1,1,0,1,0,0,0
TXN00000036,2025-01-03 21:19:30,CX00168,M00267,D06764,1487.08,21,0,1,1,1,0,0,0,0,0,1
TXN00000037,2025-01-03 21:33:58,CX00168,M02749,D06764,2436.18,21,0,0,1,0,0,0,1,0,1,1
TXN00000038,2025-01-03 21:48:47,CX00168,M01342,D06764,4994.93,21,0,0,1,0,0,1,2,0,2,1
TXN00000039,2025-01-04 07:16:48,CX00285,M03036,D07691,833.77,7,0,1,1,1,0,0,0,0,0,1
TXN00000040,2025-01-04 07:20:57,CX00285,M02308,D07691,3358.92,7,0,0,1,0,1,0,1,0,1,1
TXN00000041,2025-01-04 07:25:49,CX00285,M00990,D07691,3721.34,7,0,0,0,0,1,0,2,1,2,1
TXN00000042,2025-01-04 08:03:14,CX00384,M03332,D06364,882.66,8,0,1,1,1,0,0,0,0,0,1
TXN00000043,2025-01-04 08:31:45,CX00384,M01022,D06364,271.09,8,0,0,1,0,0,0,1,0,1,1
TXN00000044,2025-01-04 08:48:38,C02526,M02164,D02726,77.1,8,0,1,1,1,0,0,0,0,0,0
TXN00000045,2025-01-04 08:51:24,C02526,M00006,D02726,80.68,8,0,0,1,0,1,0,1,0,1,0
TXN00000046,2025-01-04 17:25:58,C03663,M00556,D00994,336.74,17,0,1,1,1,0,0,0,0,0,0
TXN00000047,2025-01-04 17:29:21,C03663,M02534,D07174,66.41,17,0,0,1,1,1,0,1,0,0,0
TXN00000048,2025-01-04 17:32:50,C03663,M02851,D07174,32.67,17,0,0,1,0,2,0,2,0,1,0
TXN00000049,2025-01-04 18:06:25,CX00274,M01813,D05154,3365.55,18,0,1,1,1,0,0,0,0,0,1
TXN00000050,2025-01-04 18:31:25,CX00274,M03687,D05154,3720.0,18,0,0,1,0,0,0,1,0,1,1
TXN00000051,2025-01-04 22:19:21,CX00031,M00883,D07951,3454.86,22,0,1,1,1,0,0,0,0,0,1
TXN00000052,2025-01-04 22:49:13,CX00031,M00670,D07951,319.56,22,0,0,1,0,0,0,1,0,1,1
TXN00000053,2025-01-05 13:18:14,C06564,M00178,D03749,42.97,13,0,1,1,1,0,0,0,0,0,0
TXN00000054,2025-01-05 13:23:08,C06564,M03024,D04791,283.57,13,0,0,1,1,1,0,1,0,0,0
TXN00000055,2025-01-06 00:24:19,CX00461,M02382,D04372,969.95,0,1,1,1,1,0,0,0,0,0,1
TXN00000056,2025-01-06 00:39:08,CX00461,M02654,D04372,748.89,0,1,0,1,0,0,0,1,0,1,1
TXN00000057,2025-01-06 03:15:15,C01988,M02897,D05847,173.81,3,1,1,1,1,0,0,0,0,0,0
TXN00000058,2025-01-06 03:19:25,C01988,M02081,D05950,31.11,3,1,0,1,1,1,0,1,0,0,0
